2, mouse, one, one, 0.3078149, 0
2, mouse, one, one, 0.9664548, 0
2, mouse, one, one, 2.000354, 0
2, mouse, one, one, 0.8584946, 0
2, mouse, one, one, 0.7583785, 0
2, mouse, one, one, 0.6334687, 0
2, mouse, one, one, 0.6419238, 0
2, mouse, one, one, 0.7832868, 0
2, mouse, one, one, 0.6419478, 0
2, mouse, one, two, 1.811907, 0
2, mouse, one, two, 0.9506767, 0
2, mouse, one, two, 0.7833669, 0
2, mouse, one, two, 0.8164019, 0
2, mouse, one, two, 0.7759257, 0
2, mouse, one, two, 0.5994316, 0
2, mouse, one, two, 0.7248988, 1
2, mouse, one, two, 0.7252667, 1
2, mouse, one, two, 0.2334771, 0
2, mouse, one, two, 0.8499297, 0
2, mouse, one, two, 0.7250606, 0
2, mouse, one, three, 1.771785, 0
2, mouse, one, three, 1.100853, 0
2, mouse, one, three, 0.9500576, 0
2, mouse, one, three, 0.7410429, 0
2, mouse, one, three, 1.016968, 1
2, mouse, one, three, 0.784662, 0
2, mouse, one, three, 0.9409314, 0
2, mouse, one, three, 0.8418478, 1
2, mouse, one, three, 0.2662774, 0
2, mouse, one, three, 0.9504906, 1
2, mouse, one, three, 0.6499109, 0
2, mouse, one, three, 1.109005, 0
2, mouse, two, one, 2.236201, 0
2, mouse, two, one, 0.7000526, 0
2, mouse, two, one, 0.5921831, 0
2, mouse, two, one, 0.5670258, 1
2, mouse, two, one, 0.2247613, 0
2, mouse, two, one, 0.4428131, 1
2, mouse, two, one, 0.2329514, 1
2, mouse, two, one, 0.199535, 0
2, mouse, two, one, 0.7828618, 0
2, mouse, two, one, 0.5500616, 0
2, mouse, two, one, 0.5922617, 0
2, mouse, two, one, 0.4749947, 1
2, mouse, two, two, 1.925942, 0
2, mouse, two, two, 0.800055, 0
2, mouse, two, two, 0.5501544, 0
2, mouse, two, two, 0.6251332, 1
2, mouse, two, two, 0.2328307, 0
2, mouse, two, two, 0.8419514, 0
2, mouse, two, two, 0.7002137, 0
2, mouse, two, two, 0.6167277, 0
2, mouse, two, two, 0.5082345, 1
2, mouse, two, two, 0.2502597, 0
2, mouse, two, two, 0.4749639, 0
2, mouse, two, three, 1.333975, 1
2, mouse, two, three, 0.3000912, 0
2, mouse, two, three, 0.9080607, 0
2, mouse, two, three, 1.408462, 0
2, mouse, two, three, 0.7752138, 0
2, mouse, two, three, 1.033494, 0
2, mouse, two, three, 0.8839731, 0
2, mouse, two, three, 0.9996859, 0
2, mouse, two, three, 0.9333671, 0
2, mouse, two, three, 1.050431, 0
2, mouse, three, three, 0.6372726, 0
2, mouse, three, three, 0.3755471, 1
2, mouse, three, three, 0.3907813, 0
2, mouse, three, three, 0.575627, 0
2, mouse, three, three, 0.4494034, 1
2, mouse, three, three, 0.2423755, 0
2, mouse, three, three, 0.5085356, 0
2, mouse, three, three, 0.441211, 1
