3, mouse, one, one,0.5893142,0
3, mouse, one, one,0.7838448,0
3, mouse, one, one,0.6909727,0
3, mouse, one, one,0.5009,0
3, mouse, one, one,0.4743956,0
3, mouse, one, one,0.5334951,0
3, mouse, one, one,0.5252662,0
3, mouse, one, one,0.4504676,0
3, mouse, one, one,0.5159844,0
3, mouse, one, two,0.8162072,0
3, mouse, one, two,0.5579776,1
3, mouse, one, two,0.6000726,0
3, mouse, one, two,0.616891,0
3, mouse, one, two,0.6999403,0
3, mouse, one, two,0.6167388,0
3, mouse, one, two,0.5504659,0
3, mouse, one, two,0.4414554,0
3, mouse, one, two,0.5083037,0
3, mouse, one, two,0.5502201,0
3, mouse, one, three,0.8123041,0
3, mouse, one, three,0.8586569,0
3, mouse, one, three,0.7416428,0
3, mouse, one, three,0.6672348,0
3, mouse, one, three,0.6830541,0
3, mouse, one, three,0.5341544,0
3, mouse, one, three,0.4412721,0
3, mouse, one, three,0.4666526,0
3, mouse, one, three,0.4665658,0
3, mouse, two, one,0.8319658,0
3, mouse, two, one,0.5248861,0
3, mouse, two, one,0.5583408,0
3, mouse, two, one,0.5417397,0
3, mouse, two, one,0.5084425,0
3, mouse, two, one,0.4083274,0
3, mouse, two, one,0.4084031,0
3, mouse, two, one,0.4418098,0
3, mouse, two, one,0.3916207,0
3, mouse, two, two,0.6145633,0
3, mouse, two, two,0.6419307,0
3, mouse, two, two,0.9416809,0
3, mouse, two, two,0.5834314,0
3, mouse, two, two,0.400047,0
3, mouse, two, two,0.4584856,0
3, mouse, two, two,0.4506477,0
3, mouse, two, two,0.4414808,0
3, mouse, two, two,0.4416386,0
3, mouse, two, three,0.7546333,0
3, mouse, two, three,0.5506284,0
3, mouse, two, three,0.4663708,0
3, mouse, two, three,0.5838111,0
3, mouse, two, three,0.4911774,0
3, mouse, two, three,0.4919204,0
3, mouse, two, three,0.8749845,0
3, mouse, two, three,0.558367,0
3, mouse, two, three,0.4249606,0
3, mouse, three, one,0.6769241,0
3, mouse, three, one,0.4159971,0
3, mouse, three, one,0.4089182,0
3, mouse, three, one,0.5585152,0
3, mouse, three, one,0.3912034,0
3, mouse, three, one,0.341757,0
3, mouse, three, one,0.3836257,0
3, mouse, three, one,0.4167515,0
3, mouse, three, one,0.3247365,0
3, mouse, three, two,0.457428,0
3, mouse, three, two,0.600073,0
3, mouse, three, two,0.3919632,0
3, mouse, three, two,0.5086384,0
3, mouse, three, two,0.3745245,0
3, mouse, three, two,0.4000313,0
3, mouse, three, two,0.5175149,0
3, mouse, three, two,0.432587,0
3, mouse, three, two,0.3751107,0
3, mouse, three, three,1.468707,0
3, mouse, three, three,0.4420963,0
3, mouse, three, three,0.4495588,0
