1, mouse, one, one, 0.527607, 0
1, mouse, one, one, 0.5755869, 1
1, mouse, one, one, 0.7745922, 0
1, mouse, one, one, 0.4921431, 0
1, mouse, one, one, 0.5830143, 0
1, mouse, one, one, 0.4584364, 0
1, mouse, one, one, 0.4084901, 0
1, mouse, one, one, 0.4169362, 0
1, mouse, one, one, 0.5502685, 0
1, mouse, one, one, 0.5078651, 0
1, mouse, two, one, 0.8331764, 0
1, mouse, two, one, 0.4919334, 1
1, mouse, two, one, 0.5749278, 0
1, mouse, two, one, 0.3665539, 1
1, mouse, two, one, 0.6085187, 0
1, mouse, two, one, 0.5082917, 0
1, mouse, two, one, 0.4006437, 1
1, mouse, two, one, 0.2750043, 0
1, mouse, two, one, 0.4161762, 0
1, mouse, two, one, 0.4841437, 0
1, mouse, two, one, 0.3910569, 0
1, mouse, two, one, 0.4418196, 0
1, mouse, three, one, 0.7307714, 0
1, mouse, three, one, 0.5003183, 0
1, mouse, three, one, 0.3663487, 0
1, mouse, three, one, 0.5334215, 0
1, mouse, three, one, 0.4586658, 0
1, mouse, three, one, 0.3582387, 0
1, mouse, three, one, 0.3332792, 0
1, mouse, three, one, 0.433378, 0
1, mouse, three, one, 0.4252043, 0
1, mouse, one, two, 0.8069521, 0
1, mouse, one, two, 0.6501076, 0
1, mouse, one, two, 0.4506655, 0
1, mouse, one, two, 0.5578461, 0
1, mouse, one, two, 0.4249644, 0
1, mouse, one, two, 0.4417928, 0
1, mouse, one, two, 0.5084808, 0
1, mouse, one, two, 0.4667549, 0
1, mouse, one, two, 0.4833515, 0
1, mouse, two, two, 0.7055333, 1
1, mouse, two, two, 0.5916495, 1
1, mouse, two, two, 0.5254626, 1
1, mouse, two, two, 1.133142, 1
1, mouse, two, two, 0.4922934, 1
1, mouse, two, two, 1.991919, 1
1, mouse, two, two, 2.442098, 1
1, mouse, two, two, 0.191661, 1
1, mouse, two, two, 0.1668352, 1
1, mouse, two, two, 0.4409853, 1
1, mouse, two, two, 3.117656, 1
1, mouse, two, two, 0.4581123, 1
1, mouse, two, two, 0.2582556, 1
1, mouse, two, two, 0.2763487, 1
1, mouse, two, two, 0.3919383, 1
1, mouse, two, two, 0.4167758, 1
1, mouse, two, two, 0.400697, 0
1, mouse, two, two, 0.5092405, 0
1, mouse, two, two, 0.3741614, 0
1, mouse, two, two, 0.5255647, 0
1, mouse, two, two, 0.3912042, 0
1, mouse, two, two, 0.4502261, 0
1, mouse, two, two, 0.3923628, 0
1, mouse, two, two, 0.4415891, 0
1, mouse, two, two, 0.58311, 0
1, mouse, three, two, 0.6187634, 0
1, mouse, three, two, 0.5504211, 0
1, mouse, three, two, 0.3248975, 0
1, mouse, three, two, 0.5330938, 0
1, mouse, three, two, 0.367171, 0
1, mouse, three, two, 0.3412536, 0
1, mouse, three, two, 0.375539, 0
1, mouse, three, two, 0.3495612, 0
1, mouse, three, two, 0.3000952, 1
1, mouse, three, two, 0.2836429, 0
1, mouse, one, three, 0.5835207, 0
1, mouse, one, three, 0.8501707, 0
1, mouse, one, three, 0.48326, 0
1, mouse, one, three, 0.6583779, 0
1, mouse, one, three, 1.000379, 0
1, mouse, one, three, 0.524884, 0
1, mouse, one, three, 0.5673427, 0
1, mouse, one, three, 0.5745562, 1
1, mouse, one, three, 0.5667824, 0
1, mouse, one, three, 0.4833973, 0
1, mouse, two, three, 0.7377151, 0
1, mouse, two, three, 0.5324841, 0
1, mouse, two, three, 0.4248753, 0
1, mouse, two, three, 0.5420853, 0
1, mouse, two, three, 0.4503228, 0
1, mouse, two, three, 0.4743584, 0
1, mouse, two, three, 0.4501188, 0
1, mouse, two, three, 0.4584898, 0
1, mouse, two, three, 0.4673848, 0
1, mouse, three, three, 0.5722836, 0
1, mouse, three, three, 0.4834034, 0
1, mouse, three, three, 0.3585235, 0
1, mouse, three, three, 0.5250503, 0
1, mouse, three, three, 0.4000038, 0
1, mouse, three, three, 0.4416515, 0
1, mouse, three, three, 0.4334353, 0
1, mouse, three, three, 0.3666231, 0
1, mouse, three, three, 0.4251128, 0
1, touchpad, one, one, 0.5793816, 0
1, touchpad, one, one, 0.9002609, 0
1, touchpad, one, one, 0.924798, 0
1, touchpad, one, one, 0.8169835, 0
1, touchpad, one, one, 0.9003824, 0
1, touchpad, one, one, 1.058137, 0
1, touchpad, one, one, 0.9754786, 0
1, touchpad, one, one, 1.058907, 0
1, touchpad, one, one, 1.249755, 0
1, touchpad, one, two, 0.6196672, 0
1, touchpad, one, two, 1.175033, 0
1, touchpad, one, two, 0.7751264, 0
1, touchpad, one, two, 0.6920214, 0
1, touchpad, one, two, 0.6001416, 0
1, touchpad, one, two, 0.6084659, 1
1, touchpad, one, two, 0.7419284, 0
1, touchpad, one, two, 0.5750227, 0
1, touchpad, one, two, 1.324685, 0
1, touchpad, one, two, 1.41696, 0
1, touchpad, one, three, 1.303221, 0
1, touchpad, one, three, 1.675982, 0
1, touchpad, one, three, 1.724178, 0
1, touchpad, one, three, 0.9585325, 1
1, touchpad, one, three, 0.4667623, 0
1, touchpad, one, three, 1.100795, 1
1, touchpad, one, three, 0.6077488, 0
1, touchpad, one, three, 1.325273, 0
1, touchpad, one, three, 1.500636, 0
1, touchpad, one, three, 1.241381, 0
1, touchpad, one, three, 1.575561, 0
1, touchpad, two, one, 0.8252655, 0
1, touchpad, two, one, 1.258417, 0
1, touchpad, two, one, 0.9501918, 0
1, touchpad, two, one, 0.9917715, 0
1, touchpad, two, one, 1.726101, 0
1, touchpad, two, one, 1.216661, 0
1, touchpad, two, one, 1.56618, 0
1, touchpad, two, one, 1.175305, 0
1, touchpad, two, one, 1.80862, 0
1, touchpad, two, two, 0.7093554, 1
1, touchpad, two, two, 0.2171427, 1
1, touchpad, two, two, 0.2328463, 0
1, touchpad, two, two, 2.24206, 0
1, touchpad, two, two, 0.9838738, 1
1, touchpad, two, two, 1.033157, 0
1, touchpad, two, two, 0.9758123, 1
1, touchpad, two, two, 0.4077191, 0
1, touchpad, two, two, 1.200175, 0
1, touchpad, two, two, 0.8334838, 0
1, touchpad, two, two, 1.033451, 0
1, touchpad, two, two, 0.9254156, 0
1, touchpad, two, two, 1.049928, 0
1, touchpad, two, three, 0.9532801, 0
1, touchpad, two, three, 1.067771, 0
1, touchpad, two, three, 1.757097, 1
1, touchpad, two, three, 0.3423421, 0
1, touchpad, two, three, 1.307909, 1
1, touchpad, two, three, 0.3170866, 1
1, touchpad, two, three, 0.3079636, 0
1, touchpad, two, three, 1.200297, 0
1, touchpad, two, three, 0.8583738, 0
1, touchpad, two, three, 1.092221, 0
1, touchpad, two, three, 1.325158, 1
1, touchpad, two, three, 0.2837907, 0
1, touchpad, two, three, 1.19119, 0
1, touchpad, three, one, 3.003814, 0
1, touchpad, three, one, 0.8255811, 1
1, touchpad, three, one, 0.3165659, 0
1, touchpad, three, one, 0.741502, 0
1, touchpad, three, one, 0.6758295, 1
1, touchpad, three, one, 0.3240302, 0
1, touchpad, three, one, 0.6508497, 0
1, touchpad, three, one, 0.6170714, 0
1, touchpad, three, one, 0.5661535, 0
1, touchpad, three, one, 0.4915961, 0
1, touchpad, three, one, 0.4335018, 0
1, touchpad, three, two, 1.015285, 0
1, touchpad, three, two, 0.4674596, 1
1, touchpad, three, two, 0.1898113, 0
1, touchpad, three, two, 0.6756806, 0
1, touchpad, three, two, 0.5995088, 0
1, touchpad, three, two, 0.7009918, 0
1, touchpad, three, two, 0.58315, 1
1, touchpad, three, two, 0.4828151, 0
1, touchpad, three, two, 0.4340941, 1
1, touchpad, three, two, 0.2252022, 0
1, touchpad, three, two, 0.7076062, 1
1, touchpad, three, two, 0.2413421, 0
1, touchpad, three, two, 0.6172715, 0
1, touchpad, three, three, 1.319021, 0
1, touchpad, three, three, 0.9747311, 0
1, touchpad, three, three, 0.6414376, 0
1, touchpad, three, three, 0.5752738, 0
1, touchpad, three, three, 0.3998548, 1
1, touchpad, three, three, 0.2342412, 1
1, touchpad, three, three, 0.341363, 0
1, touchpad, three, three, 0.5670743, 0
1, touchpad, three, three, 0.5915048, 0
1, touchpad, three, three, 0.2503138, 1
1, touchpad, three, three, 0.6079729, 0
1, touchpad, three, three, 0.4669784, 1
1, touchpad, three, three, 0.1660634, 0
